Id,Kanji,Han-Viet Pronunciation,Kun,On,Meaning,Word 1,Word 2,Word 3,MemoryTip,StrokeCount,Level,Image,Bộ thủ chính
,土,Thổ,つち,"ド, ト",Đất,土【つち】đất,土曜日【どようび】thứ bảy,お土産【おみやげ】quà đặc sản,Cầm cây thập (十) xuống 1 (一) mảnh đất (土),3,N5,,土
,上,Thượng,"うえ, うわ-, かみ, あ.がる, のぼ.る","ジョウ, ショウ",Trên,上【うえ】bên trên,上手【じょうず】giỏi,上がる【あがる】đi lên,Bốc (一) 1 (丨) quẻ lên (一) xem vận mệnh,3,N5,,一
,下,Hạ,"した, しも, もと, さ.がる, くだ.る","カ, ゲ",Dưới,下【した】bên dưới,"下手【へた】kém, dở",下がる【さがる】đi xuống,1 (一) lần coi bói (卜) là hạ (下) mình,3,N5,,一
,万,Vạn,(không có),"マン, バン",Mười nghìn,一万【いちまん】mười nghìn,十万【じゅうまん】mười vạn (100 nghìn),万年筆【まんねんひつ】bút máy,1 (一) bao (勹) thóc giá 1 vạn (万),3,N5,,一
,九,Cửu,"ここの, ここの.つ","キュウ, ク",Chín,九つ【ここのつ】chín cái,九日【ここのか】ngày mùng 9,九月【くがつ】tháng chín,"Bạn Cáo có chín đuôi (九), bạn Lực cụp đuôi (力)",2,N5,,人
,口,Khẩu,くち,"コウ, ク",Cái miệng,口【くち】cái miệng,出口【でぐち】cửa ra,入口【いりぐち】cửa vào,Miệng (口) há ra nói lời cay độc,3,N5,,口
,四,Tứ,"よ, よ.つ, よっ.つ, よん",シ,Bốn,四つ【よっつ】bốn cái,四日【よっか】ngày mùng 4,四月【しがつ】tháng bốn,Người vây quanh (囗) chân chạy (儿) bốn (四) phía,5,N5,,囗
,西,Tây,にし,"セイ, サイ, ス",Phía Tây,西【にし】phía tây,西口【にしぐち】cửa tây,西洋【せいよう】phương tây,1 (一) cái miệng (口) đi chơi xa (儿) tận trời Tây (西) là hư hỏng,6,N5,,襾
,七,Thất,"なな, なな.つ, なの",シチ,Bảy,七つ【ななつ】bảy cái,七日【なのか】ngày mùng 7,七月【しちがつ】tháng bảy,Giống số 7 ngược,2,N5,,一
,北,Bắc,きた,ホク,Phía Bắc,北【きた】phía bắc,北口【きたぐち】cửa bắc,北海道【ほっかいどう】Hokkaido (địa danh),Dựa tường (丨) dùng thìa (匕) xúc cơm nhìn về Bắc (北) Hải Đạo,5,N5,,匕
